#,TITLE,ARTIST,RELEASE,BPM,ENERGY,DANCE,LOUD,VALENCE,LENGTH,ACOUSTIC,POP.,RND
279,Jefe De Jefes,Los Tigres Del Norte,1/1/1997,111,62,77,-8,96,3:33,51,6,8674
280,Ya Es Muy Tarde,La Arrolladora Banda El Limón De Rene Camacho,1/1/2009,108,65,68,-4,95,3:01,45,69,4823
281,Y Llegaste Tú,Banda El Recodo,1/1/2008,123,69,66,-3,97,3:16,76,63,9502
282,Háblame de Ti,Banda Sinaloense MS de Sergio Lizárraga,6/24/2014,145,55,78,-5,85,3:11,62,7,7641
283,Acá Entre Nos,Banda El Recodo,3/31/2014,90,40,54,-5,88,3:10,77,52,5169
284,Te Metiste,Ariel Camacho y Los Plebes Del Rancho,9/23/2014,152,44,71,-5,81,3:29,66,67,4069
285,Llamada De Mi Ex,La Arrolladora Banda El Limón De Rene Camacho,1/1/2011,134,60,61,-5,49,3:09,52,55,95
286,Mi Gusto Es,La Arrolladora Banda El Limón De Rene Camacho,1/27/2004,106,45,62,-9,97,2:35,67,46,7936
287,Adios Amor,Christian Nodal,4/14/2016,89,43,60,-5,73,3:21,32,1,4684
288,Me Dueles,Intocable,9/15/2018,95,79,55,-7,74,3:41,17,57,8586
289,El Amor de Mi Vida,La Adictiva Banda San José de Mesillas,4/5/2019,130,50,69,-7,79,3:33,3,75,4524
290,Oye Mi Amor,Maná,1992,162,90,54,-7,96,4:23,1,72,3594
291,La Carencia,Panteon Rococo,12/1/2005,103,92,56,-6,45,7:03,25,67,3495
292,Lamento Boliviano,Los Enanitos Verdes,1/1/1994,124,74,71,-7,68,3:42,18,77,6330
293,La Muralla Verde,Los Enanitos Verdes,1986,130,86,72,-6,89,2:42,7,74,2105
294,Clavado En Un Bar,Maná,10/10/1997,148,85,63,-3,56,5:11,1,74,3125
295,De Música Ligera,Soda Stereo,4/27/1999,124,60,55,-11,80,3:37,0,9,9739
296,Afuera,Caifanes,1994,126,55,49,-11,70,4:49,21,73,738
297,Me Vale,Maná,1992,167,93,53,-5,75,4:31,0,61,8532
298,Cuando Seas Grande,Miguel Mateos,6/7/2001,149,95,35,-7,41,6:09,5,4,6966
299,La Lola,Café Quijano,6/18/1999,152,79,73,-4,87,3:17,6,67,4088
300,En algún lugar,Duncan Dhu,1/17/1987,74,86,53,-7,44,3:56,18,71,524
301,La flaca,Jarabe De Palo,6/23/2006,103,48,87,-9,66,4:21,52,69,915
302,Todas Mueren por Mí,Cartel De Santa,5/22/2007,92,70,90,-7,61,3:42,3,68,8866
303,Si Te Vienen a Contar,Cartel De Santa,8/5/2014,167,66,73,-6,85,3:40,34,72,2577
304,Leve,Cartel De Santa,11/18/2016,178,80,66,-4,68,3:45,19,73,6694
305,Los Mensajes del Whatsapp,Cartel De Santa,8/5/2014,129,78,81,-5,93,3:33,71,70,4436
306,Hey Si Me Ven,Cartel De Santa,2007,88,30,91,-8,26,3:43,8,64,8626
307,Como La Flor - Remastered,Selena,1/1/2010,182,66,60,-5,87,3:03,15,57,225
308,Bidi Bidi Bom Bom,Selena,1/1/2010,180,72,57,-6,93,3:08,10,63,6452
309,El Chico Del Apartamento 512,Selena,3/31/2015,102,71,76,-9,92,3:29,46,54,9127
310,Fuiste Mala,A.B. Quintanilla III Y Los Kumbia Kings,1/1/1999,172,66,71,-6,92,3:20,38,56,111
311,Te Quiero A Tí,A.B. Quintanilla III Y Los Kumbia Kings,7/1/2016,168,54,72,-8,89,3:17,51,47,7584
312,Sshh!!,A.B. Quintanilla III Y Los Kumbia Kings,7/1/2016,184,74,75,-4,88,3:50,44,41,4392
313,Boom Boom,A.B. Quintanilla III Y Los Kumbia Kings,7/1/2016,98,59,87,-5,22,4:14,13,43,8053
314,La Bomba,azul azul,2000,94,77,92,-7,96,2:04,12,63,5003
315,La Bomba,Ricky Martin,2/10/1998,99,95,72,-6,85,4:34,8,54,6727
316,Bombón Asesino,Ninel Conde,10/27/2017,172,80,75,-1,82,3:30,11,1,690
317,Cómo Te Voy A Olvidar,Los Angeles Azules,1/1/2005,83,51,61,-7,67,4:28,16,64,5092
318,Y Como Es El,Cardenales De Nuevo León,1/1/2004,102,38,70,-7,95,2:51,69,53,4183
319,Amnesia,Inspector,1/1/2006,145,74,51,-5,74,4:02,34,43,3999
320,Devuélveme a mi chica,Hombres G,3/26/1999,172,95,59,-5,42,3:15,1,67,1855
321,Popurri de Selena,Calor Norteño,2/1/2018,97,68,85,-9,85,9:55,10,47,8183
322,Amor Secreto,Los Angeles De Charly,1/1/2009,160,71,57,-2,88,3:09,28,50,4554
323,Me Vas A Recordar,Los Angeles De Charly,1/1/2009,78,60,64,-5,76,3:02,11,47,3737
324,Como Un Trueno,Ilegales,11/11/1997,130,95,83,-7,93,4:06,19,54,6157
325,La Morena,Ilegales,11/21/1995,127,96,89,-6,83,4:24,10,50,9692
326,El Taqui Taqui - Original Mix,Ilegales,11/11/1997,133,95,83,-7,93,4:23,2,54,32
327,El Trueno - Live,Ilegales,10/27/2014,130,87,68,-6,74,4:21,13,25,9417
328,Rebotando,Ilegales,11/11/1997,132,91,81,-7,81,4:04,4,30,9938
329,Blue (Da Ba Dee) - Gabry Ponte Ice Pop Radio,Eiffel 65,1/5/2011,128,97,82,-11,77,4:44,26,75,1485
330,Mi Mayor Anhelo,Banda Sinaloense MS de Sergio Lizárraga,1/1/2012,150,55,59,-3,59,3:32,29,66,6639
331,Mi Olvido,Banda Sinaloense MS de Sergio Lizárraga,1/1/2011,126,45,80,-5,78,3:38,33,68,9953
332,El Patrón,Banda Sinaloense MS de Sergio Lizárraga,1/1/2011,160,63,67,-4,96,2:20,66,59,937
333,Por Este Amor,Banda Sinaloense MS de Sergio Lizárraga,6/24/2014,73,33,68,-7,63,3:45,86,67,4642
334,Te Quiero Así,Valentín Elizalde,4/18/2006,94,55,78,-5,98,2:51,61,63,6303
335,X - Remix,Nicky Jam,6/29/2018,180,70,66,-5,74,3:56,6,75,5180
336,Gavilán o Paloma,José José,5/7/1977,126,45,54,-11,38,4:10,57,69,6158
337,Mi Credo,K-Paz De La Sierra,1/1/2008,130,72,72,-6,97,3:02,66,59,531
338,Con El Corazón En La Mano,Liberación,1/1/1992,83,75,72,-7,73,3:18,38,54,575
339,Si Estuvieras Conmigo - Dueto Con Grupo Bryndis,Liberación,1/1/2007,82,72,54,-5,73,2:41,57,58,1960
340,Estrellita,Los Reyes Del Camino,1/1/2005,91,69,71,-5,81,3:22,23,31,913
341,Notas De Sociedad,Los Mier,1/1/2004,92,80,73,-7,93,3:01,12,48,2857
342,Dame Felicidad,Grupo Toppaz De Reynaldo Flores,1/1/1992,167,58,61,-7,92,2:55,52,26,552
343,La Coloreteada,Los Mier,1/1/2012,176,76,51,-8,86,3:24,11,33,8115
344,Como Quien Pierde una Estrella,Alejandro Fernandez,1995,163,35,44,-11,57,3:34,64,59,5038
345,Un Idiota,Joan Sebastian,2/20/2004,85,39,59,-9,34,3:19,52,64,5444
346,Si No Te Hubieras Ido,Marco Antonio Solís,1999,95,55,74,-8,46,4:48,16,68,7755
347,Algo Me Gusta De Ti,Wisin & Yandel,1/1/2012,128,77,63,-5,24,4:35,0,71,4915
348,Danza Kuduro,Don Omar,1/1/2010,89,92,40,-5,88,3:19,8,76,4615
349,Y Ahora Resulta,Voz De Mando,1/1/2012,150,51,83,-5,85,3:24,29,66,5997
350,Sexy Movimiento,Wisin & Yandel,1/1/2007,105,76,82,-6,73,3:30,38,68,8428
351,No Lo Trates,Pitbull,4/26/2019,104,81,83,-3,83,3:18,6,79,3115
352,Gasolina,Daddy Yankee,7/13/2004,96,80,86,-6,75,3:13,33,78,6452
353,Mis Ojos Lloran Por Ti,Big Boy,1/1/2006,172,83,79,-9,33,4:56,1,73,2854
354,No Voy a Trabajá,Bermudas,12/9/2002,115,98,87,-2,63,3:18,12,41,2923
355,Noreste Caliente,A Band of Bitches,7/2/2012,132,73,88,-8,84,3:15,20,2,1365
356,Arsénico,DLD,9/18/2012,138,91,56,-4,79,3:16,1,61,2329
357,Todo Cuenta,DLD,9/18/2012,154,92,49,-4,54,3:52,3,65,539
358,Verde Mas Allá,Jenny And The Mexicats,9/26/2013,162,61,73,-7,91,3:29,8,0,7007
359,El Listón de Tu Pelo - En Vivo Concierto Sinfónico Cumbia Fuzión by Fuze Tea,Los Angeles Azules,2/25/2014,82,78,32,-5,55,4:27,17,39,6185
360,Es Mejor Así (feat. Reik) - Primera Fila - Live Version,Cristian Castro,4/1/2013,137,84,66,-5,68,3:38,4,63,8711
361,Baila Conmigo,Dayvi,3/12/2019,128,96,74,-5,58,3:11,1,12,9945
362,Hermoso Cariño,Vicente Fernández,12/13/1993,154,43,34,-6,41,2:37,61,67,8180
363,La Mesa Del Rincón,Los Tigres Del Norte,1/1/1994,114,53,81,-11,97,3:24,32,62,9196
364,Enséñame A Olvidarte,Intocable,1/1/2000,172,82,43,-6,72,3:22,53,60,3653
365,Volver Volver,Vicente Fernández,8/27/1972,165,35,36,-10,47,2:59,39,66,2666
366,Lo Intentamos,Espinoza Paz,6/1/2009,138,50,73,-7,64,3:17,54,62,9565
367,Al Diablo Lo Nuestro (Album Version),Espinoza Paz,11/13/2017,140,36,81,-8,50,4:02,14,48,40
368,El Próximo Viernes,Espinoza Paz,4/25/2018,136,43,78,-6,72,4:12,70,54,9575
369,Tonta,Diego Verdaguer,11/24/2017,96,76,81,-6,75,3:26,7,66,776
370,La Ladrona (Intro) - En Vivo,Diego Verdaguer,12/6/2011,100,73,66,-12,76,4:29,4,26,1631
371,Mentiras Bonitas - En Vivo,Diego Verdaguer,12/6/2011,118,34,68,-13,65,2:55,34,28,280
372,La Calle De Las Sirenas,Kabah,1/1/1996,105,80,69,-12,83,3:56,7,69,8396
373,Arréglame el Alma - En Vivo,Panteon Rococo,6/24/2016,165,92,53,-9,49,4:40,1,65,4720
374,La Dosis Perfecta - En Vivo,Panteon Rococo,6/24/2016,166,83,38,-9,57,6:08,5,55,9716
375,Vendedora de Caricias - En Vivo,Panteon Rococo,6/24/2016,136,58,51,-11,41,5:55,41,53,9881
376,Que Es Lo Que Pasa,Nelson Kanzela,6/10/2014,172,63,74,-5,94,4:17,30,48,5841
377,Ay Que Chupar,Nelson Kanzela,6/14/2014,145,85,77,-7,83,2:59,17,41,7003
378,Enseñame,Nelson Kanzela,6/10/2014,172,81,69,-7,86,3:35,30,42,550
379,Te Va a Doler,Maelo Ruiz,10/27/2003,178,85,61,-4,74,4:53,41,70,3865
380,Lluvia,Eddie Santiago,1/1/2006,165,69,65,-9,83,4:58,41,6,5133
381,Ven devorame otra vez (Salsa),Lalo Rodriguez,11/3/2010,85,74,72,-6,97,5:14,65,58,4060
382,Fabricando Fantasías - Salsa Version,Tito Nieves,2004,91,86,73,-3,93,4:32,24,64,5948
383,La Pantera Mambo,La-33,12/4/2004,100,79,78,-6,82,6:15,47,52,7919
384,Suavemente,Elvis Crespo,7/21/2008,124,88,81,-3,92,4:26,24,68,4113
385,Sobredosis,Alberto Barros,2/1/2014,171,82,66,-4,92,4:08,21,54,6048
386,La rebelion,Joe Arroyo,5/12/2007,108,76,57,-8,88,6:16,14,69,6507
387,Yo Quiero Chupar,Super Lamas,1/2/2018,94,79,73,-7,80,3:56,33,50,8795
388,Mambo No. 5 (A Little Bit of...),Lou Bega,5/31/2002,174,80,61,-7,90,3:40,11,19,1555
389,Directo Al Corazon,Pepe Aguilar,2/20/2004,183,28,30,-8,29,3:19,87,66,2713
390,Le Hace Falta Un Beso,El Chapo De Sinaloa,2/5/2014,102,25,79,-9,73,2:48,33,68,7012
391,Pero Te Vas A Arrepentir,K-Paz De La Sierra,1/1/2003,130,72,71,-4,97,3:13,52,51,9973
392,Nube Viajera,Alejandro Fernandez,1996,109,30,62,-10,48,4:04,49,55,1482
393,No Me Conoces Aún,Palomo,1/1/2008,162,56,68,-8,56,3:42,13,57,1857
394,Amarte A La Antigua,Pedro Fernández,1/1/2009,144,30,46,-12,39,3:39,75,61,6095
395,No Hay Novedad,Los Cadetes De Linares,4/25/2016,184,43,52,-9,89,3:05,57,66,1549
396,17 Años,Los Angeles Azules,1/1/1999,91,48,74,-9,77,3:01,47,59,2051
397,Para Que Regreses,El Chapo De Sinaloa,1/1/2004,174,52,77,-4,95,3:15,74,61,9080
398,Hermosa Experiencia,Banda Sinaloense MS de Sergio Lizárraga,10/1/2013,113,57,84,-6,98,2:33,45,66,2059
399,Te Presumo,Banda El Recodo,1/1/2008,145,47,60,-6,70,3:13,68,67,6982
400,A chillar a otra parte,Pesado,9/20/2005,168,77,47,-7,94,3:21,21,61,3780
401,Me Dediqué a Perderte,Alejandro Fernandez,9/1/2004,148,44,64,-9,47,3:52,49,79,8456
402,De Qué Manera Te Olvido,Vicente Fernández,1978,100,45,50,-6,46,2:52,82,61,9825
403,El Tucanazo,Los Tucanes De Tijuana,1/1/2002,146,65,82,-14,99,2:54,2,54,5280
404,Baila Esta Cumbia,Selena,1/1/2010,183,80,71,-5,79,2:42,52,64,7863
405,El Gigante De Hierro,Grupo Sonador,2/25/2003,90,63,87,-11,86,3:36,10,60,9884
406,El Amar y el Querer,José José,5/7/1977,66,37,42,-12,17,3:55,75,71,990
407,Escándalo,Margarita la diosa de la cumbia,10/26/2010,100,57,92,-6,92,4:49,4,60,165
408,Mi Vida Eres Tú,Los Temerarios,6/1/1992,88,38,64,-12,47,4:10,35,66,5609
409,Un Millon de Rosas,La Mafia,1991,86,56,76,-8,91,3:29,21,59,959
410,Me llamo Raquel,Banda Machos,5/28/2001,178,74,62,-5,96,2:48,17,65,2618
411,Que Te Ruegue Quien Te Quiera,Banda El Recodo,1/1/2003,128,51,72,-7,97,3:06,89,57,1563
412,El Colesterol,Fito Olivares y Su Grupo,11/12/2012,90,65,72,-7,96,2:26,39,50,9871
413,El Ruido De Tus Zapatos,La Arrolladora Banda El Limón De Rene Camacho,1/1/2013,136,50,73,-8,85,4:26,40,62,7133
414,Procura,ChiChi Peralta,7/1/1997,102,76,81,-7,97,4:31,28,62,9123
415,Corazon Espinado (feat. Mana),Santana,6/15/1999,120,79,70,-5,96,4:35,13,63,5163
416,Ámame Hasta Con los Dientes (En Vivo),Timbiriche,12/8/2017,155,93,57,-3,62,2:53,2,38,8971
417,Muriendo Lento (En Vivo),Timbiriche,12/8/2017,102,74,54,-6,40,4:15,40,35,9604
418,Si No Es Ahora (En Vivo),Timbiriche,12/8/2017,144,93,54,-4,48,3:50,3,37,4898
419,Tú y Yo Somos Uno Mismo (En Vivo),Timbiriche,12/8/2017,135,83,59,-5,15,3:27,10,38,357
420,Con Todos Menos Conmigo (En Vivo),Timbiriche,12/8/2017,115,77,53,-5,54,3:54,26,38,7188
421,Banana,Garibaldi,6/7/2019,120,89,81,-5,83,4:01,46,46,3535
422,La Ventanita,Garibaldi,1/1/1994,125,85,92,-9,96,4:11,10,59,3667
423,Callaita,Bad Bunny,5/31/2019,176,62,61,-5,24,4:11,60,93,3212
424,Oye Mi Canto,N.O.R.E.,1/1/2004,96,94,70,-3,95,4:01,17,56,1477
425,La Gota Fría,Carlos Vives,1993,101,81,72,-10,96,3:35,9,66,616
426,Perdóname,La Factoria,1/1/2007,95,82,67,-6,41,4:02,24,67,7177
427,Caraluna,Bacilos,6/25/2002,103,77,76,-5,90,4:26,18,73,8066
428,Dormir Soñando,El Gran Silencio,1/1/1998,113,93,70,-7,78,3:07,11,59,8025
429,Las Manos Arriba - Original Mix,Speed Fire,5/31/2014,129,89,82,-4,91,4:34,6,22,9828
430,Medley Bobby Pulido,Grupo Cañaveral De Humberto Pabón,1/1/2012,89,70,71,-4,77,4:08,40,32,7213
431,Medley Los Mier,Grupo Cañaveral De Humberto Pabón,1/1/2012,92,73,79,-4,66,4:19,20,29,174
432,Aunque no sea conmigo,Bunbury,4/14/2015,86,72,46,-6,46,3:33,46,72,8718
433,Un Osito de Peluche de Taiwan - En Vivo,Los Auténticos Decadentes,2008,101,78,54,-7,44,4:05,1,37,9085
434,Loco (Tu Forma de Ser) [Ft. Rubén Albarrán] - MTV Unplugged,Los Auténticos Decadentes,10/5/2018,116,64,59,-8,79,4:09,40,76,919
435,Se Me Olvidó Otra Vez - Unplugged,Maná,5/14/1999,103,93,70,-5,83,3:42,31,65,5390
436,Los Malaventurados No Lloran - MTV Unplugged,PXNDX,1/1/2010,174,94,41,-7,64,3:59,5,57,9995
437,Seguimos Laborando,Grupo 360,5/9/2019,90,64,82,-8,91,3:26,26,72,6834
438,Fondo Fondo,Lupillo Rivera,10/17/2013,130,64,81,-6,86,3:02,39,40,7693
439,Cómo Olvidarla,La Firma,3/20/2007,144,61,72,-9,91,3:41,35,53,8691
440,La Llamada,La Firma,3/22/2011,137,63,40,-8,33,6:02,67,39,4078
441,Olvídala,Binomio de Oro de América,1/1/2005,132,74,54,-5,66,5:05,13,62,9236
442,Algo De Mí,Conjunto Primavera,2006,92,81,65,-2,87,3:56,46,66,1997
443,Necesito Decirte,Conjunto Primavera,1/1/2014,145,60,64,-7,38,3:43,3,59,3993
444,Te Lloré,Conjunto Primavera,1/1/2014,136,57,60,-6,35,3:37,8,54,5557
445,Ese,Conjunto Primavera,1/1/2006,144,58,61,-7,44,3:58,21,52,314
446,Vete a Buscar Aquel,Un Nuevo Oro,11/26/2018,78,78,41,-7,76,3:37,18,36,4248
447,Llore,Un Nuevo Oro,11/26/2018,156,78,64,-7,74,4:01,23,28,9573
448,Pintame,Un Nuevo Oro,11/26/2018,156,70,66,-7,82,3:38,21,23,7245
449,Quiero Que Me Abraces,Un Nuevo Oro,11/26/2018,78,82,59,-7,66,3:50,32,25,8938
450,Alguien Te Va A Hacer Llorar,Intocable,1/1/2005,125,59,72,-8,92,4:09,39,67,581
451,Mayonesa,Alberto Barros,11/24/2014,190,93,60,-6,96,3:47,12,24,8841
452,Macarena,Alberto Barros,11/24/2014,102,87,67,-6,96,3:42,17,21,5828
453,Medley La Mafia,Grupo Cañaveral De Humberto Pabón,1/1/2012,86,68,68,-4,80,4:59,33,27,2907
454,Medley Bronco,Grupo Cañaveral De Humberto Pabón,1/1/2012,85,75,57,-4,80,5:02,35,27,9638
455,Fantasia,Costumbre,2/15/2005,152,83,64,-4,89,2:36,14,54,2280
456,Medley Rigo Tovar,Grupo Cañaveral De Humberto Pabón,1/1/2012,95,66,55,-4,87,3:47,28,28,8000
457,Cosas del Amor,Grupo Pegasso,9/17/2012,85,57,63,-8,78,3:20,26,57,4781
458,¿Qué Hubiera Sido De Mi Vida?,Duelo,2002,144,63,75,-8,94,3:13,33,56,371
459,Luna,David Olivarez,12/9/1998,168,64,69,-8,82,3:41,4,39,8622
460,Y Te Lo Pido,David Olivarez,12/18/2012,172,78,47,-10,62,5:15,6,48,3738
461,Medley Norteño,Grupo Cañaveral De Humberto Pabón,1/1/2012,92,70,80,-4,95,4:41,43,22,375
462,Ramito De Violetas,Mi Banda El Mexicano,8/19/1993,125,59,89,-12,85,3:33,0,71,7999
463,Medley Limite,Grupo Cañaveral De Humberto Pabón,1/1/2012,172,65,65,-5,83,5:10,38,23,9191
464,La Dieta,Los Tigres Del Norte,1/1/1991,199,75,65,-5,98,2:36,64,0,3773
465,El Celular,Los Tigres Del Norte,1/1/2007,130,61,88,-5,89,2:51,55,20,4387
466,Directo Al Corazón,Los Tigres Del Norte,1/1/2007,100,70,77,-4,36,3:28,19,26,3030
467,Feel Good Inc.,Gorillaz,5/23/2005,139,71,82,-7,77,3:43,1,82,904
468,Clint Eastwood,Gorillaz,3/26/2001,168,69,66,-9,52,5:41,2,75,1321
469,Despacito,Luis Fonsi,2/1/2019,178,80,66,-5,84,3:49,20,80,4222
470,La pachanga,Vilma Palma e Vampiros,7/8/2003,105,92,68,-5,55,4:42,0,65,4750
471,Capitán (feat. Aleks Syntek) - En Vivo,Calo,7/7/2017,130,91,78,-7,84,3:41,8,46,140
472,Otra Vez,Victor Garcia,6/17/2003,96,56,74,-8,74,3:41,15,59,4135
473,Formas De Amor,Calo,2/25/1997,95,81,76,-8,90,4:00,2,48,8395
474,Te Regalo,Ulices Chaidez,10/21/2016,137,44,69,-7,70,3:15,80,68,1028
475,Me Dejé Llevar,Christian Nodal,8/25/2017,138,38,65,-5,70,3:01,23,70,1172
476,Se Murió De Amor,Bobby Pulido,1/1/1996,160,70,53,-3,82,3:06,39,63,3558
477,Príncipe Azul,Liberación,1/1/1991,95,64,60,-7,79,2:56,47,37,7702
478,Fuiste Tú,Dezigual,11/18/2016,166,70,51,-6,96,3:40,55,40,6547
479,Ron Y Coca Cola,Mister Chivo,1/1/1995,202,55,47,-10,66,3:15,32,39,8445
480,Algo En Ti,La Leyenda,10/4/2011,78,54,69,-8,80,4:07,46,49,5764
481,Ella Es Así,Emilio Navaira,1/1/1997,81,64,75,-7,94,3:57,16,48,5339
482,Estúpido Romántico,Mazz,1/1/1995,176,60,61,-9,73,4:35,60,40,4596
483,Adolescente y Bonita,Grupo Pegasso,9/17/2012,96,40,70,-11,94,3:09,31,51,280
484,Falsa Traición,Sonido Mazter,1/1/2009,93,76,75,-4,78,3:25,23,46,874
485,Cuanto te amo,Costumbre,3/25/2003,140,55,73,-8,93,3:56,12,50,8362
486,La Mujer del Pelotero,Merenglass Grupo,3/30/2011,150,91,89,-3,97,3:19,35,58,5335
487,Cómo Le Haré,Emilio Navaira,1/1/1997,102,76,85,-8,97,3:38,7,47,2545
488,Llegaste Tú,Liberación,1/1/1993,169,75,46,-9,83,3:16,33,45,1069
489,Ojalá Te Animes,Bobby Pulido,1/1/2005,174,78,82,-8,97,3:01,5,53,7168
490,Ese Loco Soy Yo,Liberación,1/1/1993,132,56,59,-8,27,4:40,7,62,4978
491,Soy De La Calle,"Arnulfo Jr. ""Rey Y As""",1/1/2001,82,64,75,-8,84,3:38,21,52,6723
492,Amiga Mía,Grupo Azteka,1/1/2010,84,63,54,-7,70,3:18,42,37,2469
493,Te Fallé,Christian Nodal,8/25/2017,162,45,57,-5,51,3:51,32,71,5704
494,Ayer Te Pedí,Victor Garcia,11/24/2006,94,62,68,-4,48,3:53,65,66,1159
495,Invisible,Victor Garcia,6/17/2003,155,39,43,-9,61,3:06,67,49,6676
496,Mi bom bon,Margarita la diosa de la cumbia,10/26/2010,100,92,72,-7,83,3:59,14,49,5032
497,La Fuerza Del Destino,Liberación,1/1/1992,83,72,71,-6,69,3:09,41,50,7638
498,Dicen por Ahi,Negami,5/1/2002,182,74,61,-7,78,4:02,51,47,4479
499,Cumbia sobre el río / Interludio,Celso Piña,3/19/2001,97,82,71,-6,86,5:43,2,63,1012
500,La Carta Que Nunca Envie,Los Palominos,1991,167,68,76,-7,97,3:06,18,48,739
501,Esta Pega'o,Proyecto Uno,1/1/1999,131,55,87,-13,52,4:45,1,40,2089
502,Tiburon,Proyecto Uno,1997,130,72,88,-13,89,5:03,15,57,4832
503,A Nadie Como Tú,La Leyenda,10/4/2011,169,67,67,-7,93,3:38,17,39,2876
504,Será Que No Me Amas - En Vivo,Luis Miguel,10/13/1995,114,99,69,-5,26,4:36,28,61,4405
505,Por Qué Tuvo Que Ser,El Poder Del Norte,2001,79,52,70,-9,88,3:48,56,45,2076
506,El Cometa,Los Garcia,1999,94,91,63,-5,97,3:44,13,37,6098
507,El Amor No Acaba,Duelo,2002,145,56,68,-7,85,3:39,20,55,8419
508,Tambalea,Grupo Pegasso,9/17/2012,90,58,59,-13,93,2:26,73,48,9524
509,Vas A Sufrir,Grupo Bryndis,1/1/2001,80,59,65,-9,80,3:44,30,52,6921
510,Dile,Pesado,2/13/2001,146,67,74,-8,92,3:23,13,44,5531
511,"Te Quiero, Te Amo",David Lee Garza,1/1/2001,172,65,74,-12,95,3:28,18,48,4205
512,Yo No Fui,Big Circo,1/1/2002,150,74,74,-3,97,3:00,53,44,5482
513,Estoy Enamorada De Ti,Salomón Robles Y Sus Legendarios,1/1/2013,85,75,76,-7,96,3:10,14,45,6543
514,La Güera Salome,Fito Olivares y Su Grupo,1999,97,69,73,-11,81,3:10,30,37,3626
515,La Maquinita,Big Circo,1/1/2002,200,85,71,-5,84,3:59,7,40,1746
516,"El Perro, el Gato y Yo",Guardianes Del Amor,1993,158,93,69,-4,94,3:38,43,44,2762
517,Si Te Vuelves a Enamorar - Remasterizado,Bronco,1990,119,62,73,-6,80,3:02,45,55,8299
518,Y Volveré,Los Angeles Negros,8/2/1994,92,26,59,-15,38,4:04,53,60,6010
519,Déjenme Si Estoy Llorando,Los Angeles Negros,1/1/2003,159,52,46,-12,77,2:48,25,58,3673
520,Debut Y Despedida,Los Angeles Negros,1/1/2003,142,25,45,-12,23,2:54,48,58,9437
521,Ice Ice Baby,Vanilla Ice,11/4/2008,116,79,98,-3,58,4:14,0,71,8626
522,We No Speak Americano - JT Radio Edit,Yolanda Be Cool,7/17/2010,125,81,90,-5,74,2:37,7,60,8169
523,Turn Up The Love,Far East Movement,1/1/2012,124,87,75,-4,68,3:16,12,46,8639
524,La Diva,Alberto Y Roberto,9/28/2018,168,67,64,-5,88,3:01,13,46,4159
525,Esperando Su Llamada,Emilio Navaira,2000,152,65,56,-8,86,3:48,18,43,8675
526,Le Diré,La Firma,6/14/2005,130,70,79,-8,97,3:24,39,56,4118
527,Le Pediré,Bobby Pulido,1/1/1997,160,46,72,-13,85,3:33,13,53,1898
528,Más Fuerte Que Hércules,La Leyenda,2/14/2011,136,61,73,-6,87,3:42,36,50,5129
529,De la Noche a la Mañana,Elefante,10/23/2001,129,65,82,-8,89,4:21,5,63,9054
530,Oye Mi Canto,N.O.R.E.,7/18/2006,96,95,68,-3,95,4:01,19,63,2181
531,Tu Pun Pun,El General,4/14/2009,179,55,79,-8,79,3:33,22,55,4262
532,La Botella,Mach & Daddy,1/1/2005,118,80,75,-4,92,2:59,19,69,6892
533,Perdóname,Eddy Lover,1/1/2008,95,82,68,-6,39,4:03,24,2,5873
534,Rica y Apretadita (feat. Anayka),El General,1991,115,85,85,-6,82,4:22,16,62,5779
535,Ven Bailalo,Angel Y Khriz,12/29/2011,97,92,68,-6,70,4:12,5,7,2345
536,Llegó la Cripta,El Chombo,1999,109,85,92,-11,96,2:27,1,53,1655
537,Passion Whine,Farruko,2/22/2016,162,69,76,-4,78,3:33,33,69,9014
538,los Disicipulos,Eddie Dee,2005,94,89,63,-4,86,4:30,18,59,3810
539,Echa Pa'lla (Manos Pa'rriba),Pitbull,11/16/2012,90,84,46,-4,96,3:16,6,57,3385
540,Mr. P-Mosh,Plastilina Mosh,6/30/1998,95,61,79,-10,48,4:23,2,60,5344
541,Ni tú ni nadie,Alaska Y Dinarama,12/11/2015,138,83,56,-4,50,3:37,9,3,6242
542,"Tu Carcel - En Vivo Desde Tijuana, Mexico/2004",Los Enanitos Verdes,1/1/2004,117,75,64,-5,58,4:02,15,66,4056
543,Por Enamorarme,Los Plebes del Rancho de Ariel Camacho,4/14/2017,157,62,60,-4,83,2:56,67,71,8302
544,Que No Quede Huella,Bronco,9/20/2019,160,86,76,-5,96,3:01,53,60,8474
545,Muchacha Triste,Los Fantasmas del Caribe,8/1/2010,124,68,86,-9,98,4:05,15,58,5069
546,La Burbuja,Liberación,1/1/1990,95,85,66,-8,92,3:18,21,48,1633
547,Rosas Rojas,Industria del Amor,1/1/1993,142,64,57,-11,41,3:31,3,62,8674
548,Como Una Novela,Los Acosta,1/1/1995,102,56,76,-10,66,3:46,31,62,9551
549,Deja Una Rosa En Tu Balcón,Los Acosta,2009,102,59,79,-7,94,4:00,42,61,7240
550,Cómo Duele,Liberación,1/1/1993,108,59,54,-6,50,3:21,3,40,8346
