#,TITLE,ARTIST,RELEASE,BPM,ENERGY,DANCE,LOUD,VALENCE,LENGTH,ACOUSTIC,POP.,RND,Label
290,Lsd,Mysticum,10/27/2014,166,100,40,-4,11,4:53,0,17,7374,0
291,La Vinteren Vare Evig,Den Saakaldte,9/11/2015,120,62,31,-7,28,9:01,0,13,4935,0
292,Wolf of the Eclipse,Grafvitnir,2/22/2019,95,95,27,-6,3,5:57,0,12,3514,0
293,Ouroboros,Groza,9/28/2018,174,96,8,-6,9,5:15,0,18,7626,0
294,The Fall of the First Pillar,Acherontas,5/18/2018,179,89,7,-5,7,5:47,0,12,2561,0
295,De Dämon us Levania,Ateiggär,11/15/2019,170,94,27,-8,21,6:13,0,13,8829,0
296,The Day After 'Trinity',Panzerfaust,6/14/2019,143,97,31,-6,5,5:24,0,21,5444,0
297,Deceptive Hibernation,Lemuria,1/18/2019,88,95,37,-6,9,5:02,0,11,3800,0
298,Antagonism Eternal,Horned Almighty,11/21/2019,89,99,15,-8,4,5:34,0,10,2557,0
299,Armageddon Nobility,IXXI,2/28/2014,79,96,31,-5,41,4:24,0,10,132,0
300,De Türst und s Wüetisheer,Ungfell,3/23/2018,180,98,17,-7,11,6:16,0,20,3169,0
301,Under Hennes Vingslag,Wormwood,2/20/2018,140,96,46,-8,13,4:05,0,20,3862,0
302,Tenebrous,Varathron,4/27/2018,140,98,48,-5,24,5:11,0,19,467,0
303,Liberators,Totalitarian,4/12/2019,112,98,31,-5,3,4:20,0,19,4327,0
304,Worm Tunnel,Summoner's Circle,5/17/2019,75,87,48,-7,26,6:04,0,14,5195,0
305,Blacker Than Black,Mora Prokaza,2/28/2019,110,100,44,-3,3,3:03,13,26,5273,0
306,Wounds,Flukt No,10/25/2019,105,78,33,-7,12,3:27,0,25,9110,0
307,Leviathan,The Noctambulant,6/28/2019,150,98,39,-4,32,3:07,0,10,7549,0
308,One More War,King,11/22/2019,109,94,41,-4,20,4:17,0,27,583,0
309,Silver Lanterns,Nachtmystium,11/30/2018,150,95,34,-6,25,7:10,0,30,7965,0
310,Vernal Womb,Wormwitch,4/5/2019,120,98,26,-5,22,5:43,0,34,6156,0
311,Temple of Venus,Hedonihil,4/12/2019,160,93,26,-6,4,4:07,0,21,7278,0
312,????? 1,???????,5/10/2019,180,70,23,-8,18,4:13,0,40,6611,0
313,Urteil: Niedergang,Totenwache,8/10/2019,140,98,38,-8,4,8:05,0,19,9170,0
314,Tvihalden,Nifrost,10/21/2019,170,91,21,-5,15,5:42,0,18,8156,0
315,Thorngates,Bewailer,11/8/2019,89,90,18,-4,25,8:19,0,12,7322,0
316,I Grevens Tid,Hovmod,11/29/2019,120,98,40,-7,5,5:05,0,14,5059,0
317,When Thousand Hearts,Krater,11/15/2019,180,79,10,-7,14,5:41,0,18,6037,0
318,Wormgod,Moonreich,10/23/2019,125,92,25,-8,11,6:12,0,4,7192,0
319,Blåkulla's Meadow,Helleborus,12/6/2019,120,99,44,-2,4,6:10,0,15,409,0
320,VII,Taake,1999,162,99,10,-3,4,9:39,5,21,9617,0
321,Weighing Heart Ceremony,Mystifier,3/8/2019,120,95,52,-5,35,5:05,1,26,856,0
322,The Magi,Vesperith,11/22/2019,86,56,9,-10,4,8:57,7,18,9189,0
323,Sulphur,Noctem,11/1/2019,180,91,7,-5,9,4:48,0,19,9444,0
324,Betrayal,Diabolical,2/15/2019,90,89,38,-7,25,5:07,0,19,3772,0
325,Lifeless Sculptures,Marras,11/19/2019,140,100,29,-6,2,4:20,3,13,9196,0
326,Demon Solar Totem,The Deathtrip,11/15/2019,134,89,28,-9,3,8:10,1,21,1784,0
327,Ravnsvart,Mortem,9/27/2019,95,75,30,-8,11,6:34,0,19,9064,0
328,The Black King,Havohej,11/15/2019,130,77,32,-9,4,3:54,1,11,177,0
329,Violent Success,Matterhorn,11/22/2019,93,95,22,-6,44,2:55,0,10,9475,0
330,Transmutation of Sins,Blaze of Perdition,11/22/2019,150,97,34,-6,18,5:59,0,29,217,0
331,Hans Siste Vinter,Darkthrone,1/1/2010,134,100,17,-6,3,4:50,0,25,3281,0
332,På Tvers Av Tidene,Mork,4/19/2019,145,91,46,-8,14,5:03,0,23,2033,0
333,Nacht verweil,Firtan,7/13/2018,84,91,30,-8,12,6:21,0,24,6567,0
334,Birth of Man,Avast,10/26/2018,75,75,35,-5,13,5:44,0,15,823,0
335,A New Order,Regarde Les Hommes Tomber,12/5/2019,135,99,19,-5,6,8:04,0,35,7735,0
336,The Lure of Nyght,Sun Of The Sleepless,12/6/2019,150,86,36,-8,4,8:38,0,25,7761,0
337,Proclamation in Shadows,Desaster,4/8/2016,155,97,11,-6,3,5:45,0,23,6250,0
338,Sólverv,Vreid,10/9/2015,176,97,14,-4,5,6:02,0,14,7426,0
339,Alt liv,God Seed,10/30/2012,137,44,45,-7,15,4:08,0,23,9309,0
340,Dark Space Dominion,Vargrav,4/26/2019,160,79,13,-9,17,4:34,0,15,6092,0
341,Til Satan,Ljå,2006,102,99,14,-6,3,7:19,0,22,1808,0
342,Til Avsky For Livet,Ljå,2006,131,97,16,-6,7,5:19,0,12,3032,0
343,Et Barn Er Dødt I Bethlehem,Ljå,2006,134,100,16,-5,3,6:56,0,11,957,0
344,Vårtegn,Ljå,2006,99,94,13,-5,4,3:30,0,7,4298,0
345,Tilgi Dem Aldri,Ljå,2006,97,100,26,-6,4,6:04,0,8,4010,0
346,Vådeskudd,Ljå,2006,171,100,8,-5,3,4:24,0,7,3281,0
347,Svart,Ljå,2006,132,61,16,-7,52,3:17,0,7,718,0
348,Granatsjokk,Ljå,2006,103,74,23,-6,3,2:36,0,13,503,0
349,Blendende Lys,Ljå,2006,93,99,11,-6,3,4:00,0,6,6752,0
350,Gjort Til Djevel,Ljå,2006,114,98,24,-8,3,6:37,0,15,880,0
351,Psychosis Incarnate,Sargeist,10/11/2018,175,94,13,-6,3,4:09,0,20,1105,0
352,To Wander the Night's Eternal Path,Sargeist,10/11/2018,175,91,7,-6,3,4:14,0,18,3857,0
353,At the Edge of Negative Existence,Armagedda,6/20/2007,138,99,18,-6,4,6:21,85,5,2093,0
354,Wrapped by Darkness,Armagedda,6/20/2007,86,100,9,-5,2,3:45,11,2,6171,0
355,Whore of God,Armagedda,6/20/2007,171,100,8,-5,2,2:46,12,2,7924,0
356,Satan My Master,Armagedda,6/20/2007,116,95,17,-4,2,2:27,60,3,8374,0
357,A World Full of Lies - Live in Baroeg Rotterdam 2002,Armagedda,6/20/2007,107,82,15,-9,16,4:12,65,1,5614,0
358,I Am - Live in Ieper Belgium 2002,Armagedda,6/20/2007,119,95,17,-9,3,5:16,81,1,1110,0
359,At the Edge of Negative Existence - Live in Ieper Belgium 2002,Armagedda,6/20/2007,142,97,14,-9,3,5:10,91,1,1958,0
360,Satan My Master - Live in Ieper Belgium 2002,Armagedda,6/20/2007,82,93,21,-9,3,2:57,71,1,6838,0
361,Gravgaardspsalm,Armagedda,6/5/2004,80,16,19,-22,3,3:19,60,8,1815,0
362,Utfærd,Armagedda,6/5/2004,90,18,10,-24,6,3:21,92,6,5737,0
363,Deathminded,Armagedda,1/5/2001,143,100,13,-4,3,6:57,0,12,4218,0
364,Dødsrite,Urgehal,2/12/2016,57,52,23,-16,4,1:16,25,10,9592,0
365,Psychedelic Evil,Urgehal,2/12/2016,82,91,8,-6,9,6:20,0,10,606,0
366,Woe,Urgehal,2/12/2016,78,21,7,-16,4,2:36,50,8,2064,0
367,Funeral Rites,Urgehal,2/12/2016,105,97,18,-6,13,4:33,0,9,78,0
368,Twisted Mass of Burnt Decay,Urgehal,2/12/2016,184,95,7,-6,18,2:22,0,8,5576,0
369,Forever,KISS,1/1/1989,176,67,44,-11,57,3:53,25,63,9200,0
370,Always,Bon Jovi,10/18/1994,141,66,38,-6,33,5:53,12,77,9872,0
371,The Pack,Death Angel,5/31/2019,155,98,48,-4,41,3:33,0,28,3093,0
372,Can't Stop Lovin' You,Van Halen,1/24/1995,118,90,59,-5,54,4:07,14,65,9107,0
373,Belly of the Beast,Diamond Head,5/24/2019,136,95,38,-5,20,4:34,0,37,1557,0
374,Damned If You Do,Metal Church,12/7/2018,90,99,47,-3,11,4:36,0,32,4850,0
375,Hellbound,Tygers Of Pan Tang,1/1/1981,106,99,44,-3,4,3:30,1,29,644,0
376,Lonely Heart - 2009 Remaster,UFO,1/1/1981,136,75,46,-6,18,5:02,0,29,6267,0
377,Animal,Def Leppard,8/3/1987,120,92,58,-5,61,4:05,0,62,9690,0
378,March Of The Saint,Armored Saint,1/1/1984,126,90,39,-7,43,4:13,6,26,6154,0
379,Here I Go Again - 2018 Remaster,Whitesnake,1987,90,82,29,-7,24,4:35,1,71,1791,0
380,Livin' On A Prayer,Bon Jovi,1/1/1986,123,89,53,-4,80,4:09,8,84,6641,0
381,Shout It Out Loud,KISS,3/15/1976,136,95,57,-5,68,2:49,12,51,301,0
382,Love Bites - Remastered 2017,Def Leppard,8/3/1987,130,74,59,-7,41,5:47,7,65,4631,0
383,Flowers of Deception,Candlemass,5/25/2018,134,87,27,-5,34,6:11,0,30,4272,0
384,Every Time You Leave,I Prevail,3/29/2019,150,75,47,-5,17,3:37,0,62,5357,0
385,I Don't Care,Our Last Night,5/23/2019,102,95,54,-5,55,3:45,0,52,7340,0
386,Torn,Neck Deep,9/10/2018,96,89,55,-7,44,4:04,0,61,8990,0
387,Adrenaline,Simple Creatures,3/29/2019,152,85,63,-5,78,3:21,0,58,8521,0
388,Me Against Myself,Wage War,8/30/2019,90,96,49,-3,69,3:57,0,56,3282,0
389,Sleeptalk,Dayseeker,9/27/2019,130,95,49,-4,24,3:43,6,57,2346,0
390,Agree to Disagree,Sleeping With Sirens,9/6/2019,90,94,56,-4,63,3:03,1,57,4059,0
391,Turn My Back,Mayday Parade,6/8/2018,168,97,39,-3,33,3:33,0,52,8446,0
392,Heavier,Slaves,7/26/2019,145,95,47,-4,45,3:43,0,56,9689,0
393,BLURRY (out of place),Crown The Empire,7/19/2019,194,83,36,-5,46,3:20,0,58,3170,0
394,Hallucinations,PVRIS,8/16/2019,108,71,64,-5,56,3:43,4,62,9164,0
395,If I Can't Have You,Our Last Night,7/11/2019,124,94,63,-4,84,3:09,0,48,5482,0
396,Straight to My Head,You Me At Six,10/5/2018,132,93,53,-3,58,3:37,1,57,5146,0
397,Alone In A Room - Acoustic Version,Asking Alexandria,7/16/2018,113,58,51,-5,37,4:26,80,58,9362,0
398,Never There,Sum 41,7/19/2019,140,56,52,-5,15,4:20,0,61,8072,0
399,Into The Ocean,Blue October,1/1/2006,108,61,76,-6,36,4:00,28,60,6301,0
400,Decode - Twilight Soundtrack Version,Paramore,9/25/2009,164,87,28,-4,28,4:22,0,49,1465,0
401,"Sugar, We're Goin Down",Fall Out Boy,1/1/2005,162,84,49,-5,57,3:49,1,79,2080,0
402,Anthem of Our Dying Day,Story Of The Year,9/16/2003,195,80,39,-6,36,3:36,2,58,9316,0
403,Lips Of An Angel,Hinder,1/1/2005,129,74,48,-5,25,4:22,2,72,5576,0
404,Broken,Seether,1/1/2004,124,61,45,-3,21,4:18,1,71,6868,0
405,Over You,Daughtry,2006,156,93,45,-3,58,3:26,2,58,2529,0
406,Misery Business,Paramore,6/11/2007,173,91,52,-4,73,3:32,0,72,1787,0
407,The Safety of Disbelief,Light The Torch,3/30/2018,83,97,39,-5,19,3:33,0,46,5844,0
408,One Thing,Finger Eleven,1/1/2003,152,56,59,-9,45,4:40,45,57,9044,0
409,Hero Of War,Rise Against,1/1/2008,77,42,65,-7,26,4:13,54,66,8535,0
410,Hanging By A Moment,Lifehouse,2000,125,86,54,-5,44,3:36,0,65,8013,0
411,So Contagious,Acceptance,4/26/2005,178,70,41,-5,41,3:04,13,53,9896,0
412,Somewhere Out There,Our Lady Peace,5/17/2002,160,75,39,-5,46,4:11,0,56,6250,0
413,Swanheart - Live,Nightwish,12/6/2019,66,25,20,-16,23,2:50,47,39,3536,0
414,End of All Hope - Live,Nightwish,12/6/2019,80,95,39,-7,17,4:01,0,38,831,0
415,Dead Boy's Poem - Live,Nightwish,12/6/2019,134,53,27,-10,29,6:50,1,36,152,0
416,Nemo - Live,Nightwish,12/6/2019,128,88,46,-8,26,4:55,0,35,1902,0
417,Slaying the Dreamer - Live,Nightwish,12/6/2019,140,95,30,-8,12,5:12,0,34,2591,0
418,The Greatest Show on Earth - Live,Nightwish,12/6/2019,76,73,16,-10,9,16:59,0,34,6366,0
419,Ghost Love Score - Live,Nightwish,12/6/2019,101,76,45,-9,22,11:55,0,35,8367,0
420,Anthropogenic: End Transmission,Cattle Decapitation,11/29/2019,80,69,41,-12,37,2:15,2,49,2508,0
421,"The Great Dying, Pt. 1",Cattle Decapitation,11/29/2019,128,33,35,-17,4,1:12,36,49,4499,0
422,"The Great Dying, Pt. 2",Cattle Decapitation,11/29/2019,48,44,40,-17,10,1:05,80,47,1647,0
423,Finish Them,Cattle Decapitation,11/29/2019,112,97,33,-4,32,2:56,0,49,9126,0
424,With All Disrespect,Cattle Decapitation,11/29/2019,130,97,50,-4,27,4:31,0,48,5625,0
425,Time's Cruel Curtain,Cattle Decapitation,11/29/2019,156,99,19,-5,14,5:32,0,51,4264,0
426,The Unerasable Past,Cattle Decapitation,11/29/2019,132,63,21,-14,15,2:51,84,46,4395,0
427,Death Atlas,Cattle Decapitation,11/29/2019,112,94,30,-5,7,9:15,0,49,2208,0
428,Death Do Us Part,Solence,11/28/2019,149,84,24,-6,33,3:12,1,38,16,0
429,In the Dark,Solence,11/28/2019,144,60,47,-7,31,3:39,4,40,8308,0
430,Ghosts,Solence,11/28/2019,140,84,35,-7,18,4:14,0,37,7421,0
431,Wish I Wasn't Me,Solence,11/28/2019,114,39,59,-8,10,3:11,41,36,8682,0
432,Sickness Divine,Red Death,11/29/2019,114,90,32,-5,21,4:40,0,32,479,0
433,Face the Pain,Red Death,11/29/2019,174,99,18,-4,24,3:12,0,31,8187,0
434,Sword Without a Sheath,Red Death,11/29/2019,158,99,22,-3,31,2:38,0,29,3584,0
435,Worlds Apart,Tygers Of Pan Tang,11/22/2019,148,91,35,-5,38,5:21,0,42,3188,0
436,Destiny,Tygers Of Pan Tang,11/22/2019,126,88,53,-6,37,5:01,0,35,6900,0
437,Rescue Me,Tygers Of Pan Tang,11/22/2019,102,86,52,-5,58,4:39,0,34,8331,0
438,Words Cut Like Knives,Tygers Of Pan Tang,11/22/2019,140,59,39,-7,11,4:37,1,31,6466,0
439,Sail On,Tygers Of Pan Tang,11/22/2019,95,88,23,-7,22,7:38,0,29,6368,0
440,Reprise,Discharge,6/11/1993,109,33,36,-23,3,1:50,43,9,1662,0
441,"Behold, Malevolence",Enterprise Earth,11/29/2019,125,98,31,-7,4,4:07,1,31,7961,0
442,Requiem,Enterprise Earth,11/29/2019,108,31,61,-19,54,1:32,53,23,84,0
443,Requiem - Instrumental,Enterprise Earth,11/29/2019,108,33,62,-18,48,1:32,50,17,9557,0
444,The Failsafe Fallacy - Instrumental,Enterprise Earth,11/29/2019,108,97,48,-6,16,4:45,0,18,7677,0
445,Infernal Suffering - Instrumental,Enterprise Earth,11/29/2019,120,97,23,-7,5,4:04,0,16,3846,0
446,Luciferous - Instrumental,Enterprise Earth,11/29/2019,134,92,41,-7,12,4:42,0,16,9252,0
447,Nightfallen - Instrumental,Enterprise Earth,11/29/2019,120,97,29,-6,18,2:47,0,15,2474,0
448,We Are Immortal - Instrumental,Enterprise Earth,11/29/2019,127,95,52,-7,11,4:55,0,16,3599,0
449,There Is No Tomorrow - Instrumental,Enterprise Earth,11/29/2019,119,95,34,-7,4,8:25,0,16,6227,0
450,Valley of Death,Lionheart,11/15/2019,149,98,36,-5,18,1:40,3,34,145,0
451,Lost in Time,Cyhra,11/15/2019,61,29,22,-11,32,4:39,58,33,8785,0
452,Kings and Queens,Cyhra,11/15/2019,126,95,48,-7,34,3:57,0,31,6816,0
453,Lies,Cyhra,11/15/2019,115,94,51,-7,41,4:10,0,30,6205,0
454,Lost in Time (Full Band),Cyhra,11/15/2019,78,50,23,-8,27,4:33,2,29,5009,0
455,Dreams Gone Wrong - Acoustic,Cyhra,11/15/2019,125,49,51,-8,37,4:23,56,28,3236,0
456,Kings Tonight - Acoustic,Cyhra,11/15/2019,78,47,38,-8,43,3:52,55,27,4488,0
457,I Am the One - Acoustic,Cyhra,11/15/2019,135,46,41,-7,24,4:33,59,27,557,0
458,R!OT,Spoil Engine,11/15/2019,90,98,44,-4,19,3:17,0,26,1080,0
459,Medicine,Spoil Engine,11/15/2019,112,97,49,-5,16,4:35,0,23,6408,0
460,The Hallow,Spoil Engine,11/15/2019,135,97,47,-5,10,4:24,0,24,6849,0
461,The Void,Spoil Engine,11/15/2019,106,98,49,-5,17,4:14,0,18,702,0
462,Storms of Tragedy,Spoil Engine,11/15/2019,109,98,52,-6,7,4:52,0,17,5628,0
463,Sole Impulse,Vatican,11/15/2019,158,95,42,-6,28,2:37,0,31,2675,0
464,Your Prison Within,Vatican,11/15/2019,164,92,40,-6,24,4:02,0,23,5300,0
465,Xero Line Crisis,Vatican,11/15/2019,160,98,40,-6,16,3:43,0,22,9622,0
466,Urban Decay,Agnostic Front,11/8/2019,94,99,47,-3,15,1:58,0,25,4258,0
467,Devastated,Agnostic Front,11/8/2019,101,98,25,-4,33,2:39,0,23,2014,0
468,To Whatever End,The Dark Element,11/8/2019,148,66,43,-9,35,5:16,1,37,8739,0
469,Get out of My Head,The Dark Element,11/8/2019,124,87,49,-8,44,4:44,0,36,2203,0
470,If I Had a Heart,The Dark Element,11/8/2019,108,75,47,-9,24,4:47,0,35,4879,0
471,You Will Learn,The Dark Element,11/8/2019,123,86,48,-8,35,5:56,0,35,97,0
472,I Have to Go,The Dark Element,11/8/2019,204,36,24,-13,30,3:02,64,33,3928,0
473,Ring Leader,Stray From The Path,11/1/2019,160,89,31,-3,50,3:27,0,46,3252,0
474,Actions Not Words,Stray From The Path,11/1/2019,92,97,26,-3,19,3:52,0,42,3402,0
475,Devil,Second to Sun,11/7/2019,125,86,36,-5,4,5:39,0,37,1262,0
476,Confessional of the Black Penitent,Second to Sun,11/7/2019,123,92,41,-4,5,6:03,0,23,6421,0
477,Pages for a Manuscript,Second to Sun,11/7/2019,170,95,25,-6,6,10:32,0,21,3819,0
478,Monster,Second to Sun,11/7/2019,108,87,38,-4,9,5:05,0,20,6006,0
479,Colours,Voyager,11/1/2019,129,95,55,-5,20,4:05,0,37,9174,0
480,Severomance,Voyager,11/1/2019,110,86,31,-6,25,4:23,0,38,8481,0
481,Brightstar,Voyager,11/1/2019,130,91,43,-5,31,4:32,1,37,1133,0
482,Saccharine Dream,Voyager,11/1/2019,125,97,53,-5,10,5:27,1,34,1029,0
483,Entropy,Voyager,11/1/2019,116,95,56,-5,32,4:43,1,36,2453,0
484,Reconnected,Voyager,11/1/2019,145,97,48,-6,7,4:47,0,33,209,0
485,Now or Never,Voyager,11/1/2019,180,85,43,-7,22,1:39,12,32,2210,0
486,Sign of the Times,Voyager,11/1/2019,135,97,52,-5,25,3:47,0,33,9514,0
487,Water over the Bridge,Voyager,11/1/2019,145,94,30,-5,18,4:42,0,33,8844,0
488,Runaway,Voyager,11/1/2019,110,95,52,-5,46,4:38,0,32,5031,0
489,Insomnia / Sunrise,Silvertomb,11/1/2019,135,74,28,-7,20,5:18,0,28,726,0
490,Love You Without No Lies,Silvertomb,11/1/2019,122,77,44,-8,19,4:25,0,28,1104,0
491,So True,Silvertomb,11/1/2019,133,87,49,-9,25,5:08,0,24,3425,0
492,Not Your Savior,Silvertomb,11/1/2019,125,63,55,-8,39,3:55,0,23,4800,0
493,One of You,Silvertomb,11/1/2019,75,87,36,-7,23,4:49,0,23,2465,0
494,Right of Passage / Crossing Over,Silvertomb,11/1/2019,118,79,31,-7,8,7:04,0,26,2217,0
495,Eulogy / Requiem,Silvertomb,11/1/2019,129,47,36,-9,6,4:50,6,21,2872,0
496,Sleeping on Nails and Wine,Silvertomb,11/1/2019,134,9,72,-20,72,1:31,90,21,8373,0
497,Waiting,Silvertomb,11/1/2019,100,90,45,-6,34,3:41,0,23,8812,0
498,I'll Be There,Bad Wolves,10/25/2019,128,87,58,-6,61,4:02,0,57,9660,0
499,No Messiah,Bad Wolves,10/25/2019,155,92,39,-6,34,4:20,0,56,3564,0
500,Learn To Walk Again,Bad Wolves,10/25/2019,130,91,48,-5,26,2:48,0,60,4797,0
501,Sober,Bad Wolves,10/25/2019,157,81,46,-7,62,3:15,1,57,9834,0
502,Crying Game,Bad Wolves,10/25/2019,84,92,23,-5,21,3:12,0,52,8715,0
503,LA Song,Bad Wolves,10/25/2019,102,96,46,-6,11,3:34,0,49,9691,0
504,On the Top,Jinjer,10/25/2019,82,96,21,-5,18,5:28,0,51,2335,0
505,lainnereP,Jinjer,10/25/2019,101,40,30,-13,4,5:28,38,43,7392,0
506,Mourn,Fit For An Autopsy,10/25/2019,91,98,34,-6,4,4:31,0,32,5666,0
507,Warfare,Fit For An Autopsy,10/25/2019,146,98,44,-5,32,3:20,0,34,1853,0
508,Birds of Prey,Fit For An Autopsy,10/25/2019,142,95,21,-6,4,5:28,0,31,6197,0
509,Napalm Dreams,Fit For An Autopsy,10/25/2019,125,96,45,-5,19,4:56,0,30,269,0
510,Les jardins de minuit,Alcest,10/25/2019,146,80,18,-9,18,7:53,0,43,2771,0
511,Protection,Alcest,10/25/2019,146,90,16,-8,17,5:50,0,44,1983,0
512,Sapphire,Alcest,10/25/2019,75,76,40,-8,20,5:01,0,44,6508,0
513,L'île des morts,Alcest,10/25/2019,122,80,25,-9,14,9:04,0,41,1072,0
514,Le miroir,Alcest,10/25/2019,89,56,24,-11,14,5:31,9,40,8095,0
515,Spiritual Instinct,Alcest,10/25/2019,96,68,28,-9,19,7:43,0,39,7293,0
516,Orphan Twin,Norma Jean,10/25/2019,112,95,41,-4,27,1:57,0,49,4533,0
517,[Mind over Mind],Norma Jean,10/25/2019,144,98,36,-3,28,2:38,0,50,1976,0
518,Safety Last,Norma Jean,10/25/2019,160,99,21,-3,11,3:45,0,48,5695,0
519,Volunteer Tooth Filing,Norma Jean,10/25/2019,45,9,26,-25,16,0:41,5,45,2780,0
520,Extra Dimensional Palate Cleanser,Norma Jean,10/25/2019,139,80,37,-14,19,0:33,37,42,9174,0
521,Anna,Norma Jean,10/25/2019,131,89,28,-6,7,5:22,0,45,6251,0
522,The Mirror and the Second Veil,Norma Jean,10/25/2019,135,23,47,-11,18,1:54,65,41,8716,0
523,Morally Flexible,Darknet,10/18/2019,196,100,40,-1,23,3:10,0,30,5868,0
524,Nos,Darknet,10/18/2019,100,100,53,-1,16,2:45,0,30,2592,0
525,D34dh34d,Darknet,10/18/2019,85,100,33,0,35,2:24,0,25,3442,0
526,Bleached,Darknet,10/18/2019,160,100,42,0,42,3:12,0,26,2082,0
527,Pale Blue,Darknet,10/18/2019,100,90,53,-7,38,1:26,19,22,4907,0
528,Fear2fail,Darknet,10/18/2019,140,100,47,0,17,3:38,0,23,7097,0
529,Re-Lapse,Darknet,10/18/2019,100,98,56,-1,22,3:08,0,23,1698,0
530,Fake,Darknet,10/18/2019,90,98,55,-2,65,1:05,9,21,8944,0
531,Split,Darknet,10/18/2019,95,100,42,0,18,2:54,0,21,4323,0
532,Waste(d),Darknet,10/18/2019,92,100,44,0,38,3:12,0,21,9411,0
533,Ghost,Darknet,10/18/2019,173,98,42,-1,15,4:24,0,22,2452,0
534,One Life,Alter Bridge,10/18/2019,122,33,24,-12,11,1:23,14,50,4592,0
535,Clear Horizon,Alter Bridge,10/18/2019,115,93,49,-7,8,4:57,0,49,6137,0
536,Walking on the Sky,Alter Bridge,10/18/2019,151,90,28,-6,19,4:56,0,49,7932,0
537,Tear Us Apart,Alter Bridge,10/18/2019,98,88,43,-6,44,4:32,0,48,9403,0
538,Dying Light,Alter Bridge,10/18/2019,65,79,38,-6,32,5:47,0,50,9936,0
539,Made Up Smile,Dream State,10/18/2019,138,87,52,-7,18,5:35,2,45,7673,0
540,Are You Ready To Live?,Dream State,10/18/2019,183,92,39,-6,37,4:15,0,43,8361,0
541,Hand In Hand,Dream State,10/18/2019,97,90,53,-5,54,3:19,0,44,7405,0
542,Open Windows,Dream State,10/18/2019,187,91,42,-5,60,3:51,0,43,6448,0
543,Twenty Letters,Dream State,10/18/2019,84,76,49,-7,26,3:48,0,45,3801,0
544,Spitting Lies,Dream State,10/18/2019,139,91,53,-5,54,3:33,0,42,7837,0
545,Out Of The Blue,Dream State,10/18/2019,142,92,52,-6,35,3:38,0,47,6774,0
546,Chapters,Dream State,10/18/2019,115,67,53,-7,19,3:54,2,40,5349,0
547,Primrose,Dream State,10/18/2019,146,92,45,-6,21,4:24,0,47,6121,0
548,I Feel It Too,Dream State,10/18/2019,145,77,51,-8,18,5:01,2,42,1629,0
549,Switchblade,The Devil Wears Prada,10/11/2019,92,88,29,-6,15,2:53,0,49,8133,0
550,Lines of Your Hands,The Devil Wears Prada,10/11/2019,89,89,48,-5,10,4:10,0,51,2541,0
551,Please Say No,The Devil Wears Prada,10/11/2019,126,63,66,-10,8,3:19,19,49,557,0
552,Prelude,Life Of Agony,10/11/2019,124,33,53,-20,27,0:32,24,25,4580,0
553,Scars,Life Of Agony,10/11/2019,98,92,56,-5,42,2:46,0,33,1833,0
554,Black Heart,Life Of Agony,10/11/2019,108,94,61,-6,21,3:33,0,31,3085,0
555,Lay Down,Life Of Agony,10/11/2019,116,83,64,-5,39,3:49,0,35,9166,0
556,Then,Life Of Agony,10/11/2019,78,47,45,-16,22,1:17,60,26,1795,0
557,Viva La Victoria,Eclipse,10/11/2019,135,94,54,-6,57,3:12,0,48,2895,0
558,Mary Leigh,Eclipse,10/11/2019,127,97,54,-5,38,3:06,0,43,8777,0
559,Blood Wants Blood,Eclipse,10/11/2019,127,96,55,-6,36,3:35,2,43,2827,0
560,Shelter Me,Eclipse,10/11/2019,120,72,49,-6,35,3:13,4,40,5623,0
561,United,Eclipse,10/11/2019,105,94,54,-6,47,3:49,1,40,7720,0
562,Delirious,Eclipse,10/11/2019,145,96,50,-6,38,3:10,1,40,9901,0
563,When the Winter Ends,Eclipse,10/11/2019,126,96,51,-6,39,4:48,0,40,9701,0
564,38 or 44,Eclipse,10/11/2019,105,97,51,-6,18,4:08,1,38,3939,0
565,Never Gonna Be Like You,Eclipse,10/11/2019,140,97,53,-7,42,3:22,3,37,1802,0
566,The Masquerade,Eclipse,10/11/2019,88,94,47,-6,29,5:31,0,43,8039,0
567,Take Me Home,Eclipse,10/11/2019,82,87,19,-6,48,3:48,0,37,6727,0
568,Wave of Death,Municipal Waste,10/11/2019,82,99,40,-3,48,1:53,0,33,3761,0
569,Car-Nivore - Street Meat,Municipal Waste,10/11/2019,115,99,30,-2,23,2:30,0,27,6687,0
570,Rum for Your Life,Municipal Waste,10/11/2019,200,99,17,-2,45,2:34,0,27,6757,0
571,The Last Rager,Municipal Waste,10/11/2019,158,99,24,-2,27,3:15,0,29,6703,0
572,In Chains,Gatecreeper,10/4/2019,160,90,37,-6,43,3:12,0,36,3498,0
573,Absence of Light,Gatecreeper,10/4/2019,79,68,34,-8,20,4:20,0,34,2470,0
574,Anxiety - Bonus Track,Gatecreeper,10/4/2019,158,98,17,-6,18,4:17,0,34,6034,0
575,The Silent Man,Cult Of Luna,9/20/2019,123,95,40,-7,4,10:37,0,45,2359,0
576,Lay Your Head to Rest,Cult Of Luna,9/20/2019,100,70,35,-9,23,6:24,0,44,5715,0
577,A Dawn to Fear,Cult Of Luna,9/20/2019,100,41,37,-10,4,8:54,2,43,8167,0
578,Nightwalkers,Cult Of Luna,9/20/2019,125,88,29,-8,19,10:49,0,42,4965,0
